id,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,season,title,us_viewers_in_millions,views,weekday_num,weekday_name,year,month,trend_slope,viewers_type
246,7.2,716.0,20,246,2000-05-07,2000,11,Last Tap Dance in Springfield,7.3,47061.0,6,Sunday,2000,5,0.011501976284584858,Household Viewers (Millions)
228,7.5,776.0,2,228,1999-10-03,1999,11,Brother's Little Helper,7.1,44172.0,6,Sunday,1999,10,0.011501976284584858,Household Viewers (Millions)
223,7.3,779.0,20,223,1999-04-25,1999,10,"The Old Man and the ""C"" Student",6.9,47550.0,6,Sunday,1999,4,0.03665019762845839,Household Viewers (Millions)
243,7.0,780.0,17,243,2000-03-19,2000,11,Bart to the Future,8.77,75315.0,6,Sunday,2000,3,0.011501976284584858,Household Viewers (Millions)
227,7.3,917.0,1,227,1999-09-26,1999,11,Beyond Blunderdome,8.1,34394.0,6,Sunday,1999,9,0.011501976284584858,Household Viewers (Millions)
225,7.3,804.0,22,225,1999-05-09,1999,10,They Saved Lisa's Brain,6.8,47951.0,6,Sunday,1999,5,0.03665019762845839,Household Viewers (Millions)
216,7.7,882.0,13,216,1999-02-07,1999,10,Homer to the Max,8.3,55726.0,6,Sunday,1999,2,0.03665019762845839,Household Viewers (Millions)
234,7.1,775.0,8,234,1999-11-28,1999,11,"Take My Wife, Sleaze",8.9,41484.0,6,Sunday,1999,11,0.011501976284584858,Household Viewers (Millions)
236,7.3,715.0,10,236,2000-01-09,2000,11,Little Big Mom,10.0,48194.0,6,Sunday,2000,1,0.011501976284584858,Household Viewers (Millions)
237,6.9,734.0,11,237,2000-01-16,2000,11,Faith Off,10.4,43869.0,6,Sunday,2000,1,0.011501976284584858,Household Viewers (Millions)
259,7.5,761.0,11,259,2001-02-04,2001,12,Worst Episode Ever,18.5,49893.0,6,Sunday,2001,2,-0.07090909090909082,Individual Viewers (Millions)
